"CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
2,0,12057,0.7167,0.6667,10500,8792,7455,1036.5,0.7629,322
2,0,6023,0.7167,0.2115,8050,8792,12686,1036.5,0.91,523
3,0,1624,0.7167,0.46545,7901,8792,9476,1036.5,0.4422,89
2,0,10138,0.7167,0,9833,8792,9346,1036.5,0.4839,67
2,0,4873,0.7167,0.2133,3775,8792,8427,1036.5,0.7679,447
2,0,5777,0.7167,0.46545,9833,8792,9592,1036.5,0.2,26
3,0,6193,0.7167,0.46545,8407,8792,14170,1036.5,0.7894,335
3,0,8231,0.7167,0.46545,7392,8792,12328,1036.5,0.6598,43
3,0,7447,0.7167,0.46545,5781,8792,13660,1036.5,0.7386,175
2,0,5550,0.7167,0.5,16750,8792,12580,1036.5,0.6986,77
3,0,7119,0.7167,0.46545,5491.5,8792,12938,1036.5,0.475,47
3,0,9287,0.7167,0.46545,7613,8792,13635,1036.5,0.633,226
3,0,8134,0.7167,0.46545,6514,8792,10819,1036.5,0.5828,83
3,0,8704,0.7167,0.46545,6392.5,8792,12798,1036.5,0.6947,53
3,0,8290,0.7167,0.46545,6392.5,8792,12513,1036.5,0.6753,113
3,0,5660,0.7167,0.46545,10423.5,8792,11591,1036.5,0.7927,273
3,0,3546,0.7167,0.46545,9833,8792,4536,1036.5,0.1957,64
3,0,7957,0.7167,0.46545,6406,8792,12996,1036.5,0.7555,172
3,0,5278,0.7167,0.46545,9545,8792,4923,1036.5,0.9474,32
3,0,1665,0.7167,0.46545,6333,8792,10167,1036.5,1,37
3,0,9392,0.7167,0.46545,5500,8792,9691,1036.5,0.9231,46
2,0,9863,0.5898,0.4965,12000,8792,12350,1142,0.6867,570
3,0,8501,0.7167,0.46545,6800,8792,8717,1036.5,0.6056,50
3,0,8658,0.7167,0.46545,9500,8792,10946,1036.5,0.679,64
2,0,8457,0.5407,0.3874,10828,8792,11539,974,0.5745,769
2,0,8396,0.7167,0.2931,7848,8792,10192,1036.5,0.5524,153
3,0,5255,0.7167,0.46545,3848.5,8792,12460,1036.5,0.9182,302
3,0,4823,0.7167,0.46545,4000,8792,8739,1036.5,0.2877,43
3,0,5165,0.7167,0.46545,9833,8792,12018,1036.5,0.4865,27
3,0,6357,0.7167,0.46545,6365,8792,14889,1036.5,0.5332,364
3,0,1486,0.7167,0.46545,9833,8792,6284,1036.5,0,15
3,0,6626,0.7167,0.46545,9833,8792,10884,1036.5,0.5854,65
3,0,4718,0.7167,0.46545,9500,8792,12681,1036.5,0.3978,79
3,0,13022,0.7167,0.46545,8456,8792,7502,1036.5,0.8462,50
2,0,6837,0.7167,0.46545,8453,8792,4883,1036.5,0.7115,330
2,0,7323,0.6798,0.3985,10000,8792,11326,1001,0.6307,501
3,0,342,0.7167,0.46545,9833,8792,959,1036.5,0,25
3,0,1205,0.7167,0.46545,6333,8792,12608,1036.5,0.809,186
3,0,5490,0.7167,0.46545,3500,8792,11962,1036.5,0.6516,45
2,0,5936,0.8321,0.7826,9833,8792,8039,1036.5,0.3906,259
3,0,5367,0.7167,0.46545,7710,8792,12974,1036.5,0.6748,114
2,0,12357,0.8333,0.25,9833,8792,11734,1036.5,0.5429,30
3,0,7053,0.7167,0.46545,6333,8792,11184,1036.5,0.5784,167
2,0,5379,0.7167,0.46545,5250,8792,14109,1036.5,0.4472,267
2,0,5903,0.7167,0.46545,5250,8792,12906,1036.5,0.3681,345
2,0,10520,0.7167,0.46545,5250,8792,-264,1036.5,0.0783,234
2,0,4730,0.7167,0.46545,5250,8792,12322,1036.5,0.4128,103
2,0,8722,0.7167,0.46545,5250,8792,11479,1036.5,0.0791,88
2,0,9345,0.7167,0.46545,5250,8792,4571,1036.5,0.0809,104
2,0,8824,0.7167,0.46545,5250,8792,12479,1036.5,0.0577,65
3,0,2723,0.7167,0.46545,9833,8792,8665,1036.5,0,96
3,0,5281,0.7167,0.46545,6630.5,8792,12128,1036.5,0.5229,229
3,0,3624,0.7167,0.46545,9833,8792,7304,1036.5,0,47
3,0,5749,0.7167,0.46545,9833,8792,8377,1036.5,0,83
3,0,6158,0.7167,0.46545,10556,8792,11066,1036.5,0.6111,30
3,0,392,0.7167,0.46545,9833,8792,11719,1036.5,0,126
3,0,4640,0.7167,0.46545,6333,8792,13466,1036.5,0.5617,93
3,0,9231,0.7167,0.46545,8118,8792,10643,1036.5,0.6735,186
3,0,6681,0.7167,0.46545,9833,8792,13061,1036.5,0,67
3,0,6744,0.7167,0.46545,9833,8792,9582,1036.5,0,36
3,0,4516,0.7167,0.46545,4610,8792,8337,1036.5,0.2719,56
3,0,10266,0.7167,0.46545,7601.5,8792,10440,1036.5,0.4903,126
3,0,11238,0.7167,0.46545,9101,8792,12836,1036.5,0.7254,594
3,0,3449,0.7167,0.46545,5408.5,8792,10672,1036.5,0.6056,48
3,0,7589,0.7167,0.46545,9500,8792,8506,1036.5,0.9528,76
3,0,4777,0.7167,0.46545,4598.5,8792,9167,1036.5,0.4857,153
3,0,6881,0.7167,0.46545,6913,8792,9535,1036.5,0.5207,70
3,0,3196,0.7167,0.46545,9833,8792,9908,1036.5,0,99
3,0,2575,0.7167,0.46545,3120,8792,11432,1036.5,0.4921,108
3,0,2272,0.7167,0.46545,9833,8792,9762,1036.5,0,71
3,0,4352,0.7167,0.46545,7726.5,8792,10747,1036.5,0.5154,228
3,0,4554,0.7167,0.46545,9921,8792,11333,1036.5,0.7429,129
3,0,347,0.7167,0.46545,9833,8792,10291,1036.5,0,210
3,0,2551,0.7167,0.46545,9833,8792,4229,1036.5,0,181
3,0,3870,0.7167,0.46545,6050,8792,13558,1036.5,0.6092,105
3,0,8965,0.7167,0.46545,9833,8792,4571,1036.5,0,42
2,0,12568,1,0.1667,9833,8792,6649,1036.5,0,131
3,0,8482,0.7167,0.46545,8870,8792,10770,1036.5,0.4504,90
3,0,8182,0.7167,0.46545,9104.5,8792,12460,1036.5,0.7164,53
3,0,4642,0.7167,0.46545,11122.5,8792,13335,1036.5,0.5977,174
3,0,5806,0.7167,0.46545,6333,8792,13448,1036.5,0.4714,205
3,0,10554,0.7167,0.46545,13000,8792,12487,1036.5,0.7022,339
2,0,11093,0.6558,0.4828,12000,8792,11804,841,0.4199,1053
2,0,6778,0.75,0.46545,9833,8792,11756,1036.5,0.6111,37
2,0,8251,0.4257,0.3684,14425,8792,9766,1062,0.6105,499
3,0,11320,0.7167,0.46545,4811.5,8792,12644,1036.5,0.2652,129
2,0,9451,0.2732,0.2,11351,8792,12443,802,0.8214,862
3,0,7364,0.7167,0.602,9500,8792,14055,1036.5,0.7045,4330
3,0,17632,0.7167,0.1477,12347.5,8792,8580,1036.5,1,99
3,0,1998,0.7167,0.46545,9833,8792,6961,1036.5,0,28
