"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
2503400,"Amridge University","Montgomery","AL","36117-3553",2,0,12057,0.7167,0.6667,10500,8792,7455,1036.5,0.7629,322
1055400,"Concordia College Alabama","Selma","AL","36701",2,0,6023,0.7167,0.2115,8050,8792,12686,1036.5,0.91,523
4187200,"New Beginning College of Cosmetology","Albertville","AL","35951",3,0,1624,0.7167,0.46545,7901,8792,9476,1036.5,0.4422,89
2199700,"Heritage Christian University","Florence","AL","35630-9977",2,0,10138,0.7167,0,9833,8792,9346,1036.5,0.4839,67
4067300,"Selma University","Selma","AL","36701",2,0,4873,0.7167,0.2133,3775,8792,8427,1036.5,0.7679,447
884300,"Alaska Bible College","Palmer","AK","99645",2,0,5777,0.7167,0.46545,9833,8792,9592,1036.5,0.2,26
2541000,"Alaska Career College","Anchorage","AK","99507-1033",3,0,6193,0.7167,0.46545,8407,8792,14170,1036.5,0.7894,335
2173204,"Empire Beauty School-Paradise Valley","Phoenix","AZ","85032",3,0,8231,0.7167,0.46545,7392,8792,12328,1036.5,0.6598,43
966403,"Empire Beauty School-Tucson","Tucson","AZ","85716",3,0,7447,0.7167,0.46545,5781,8792,13660,1036.5,0.7386,175
2199900,"American Indian College of the Assemblies of God Inc","Phoenix","AZ","85021",2,0,5550,0.7167,0.5,16750,8792,12580,1036.5,0.6986,77
886400,"Arizona Academy of Beauty-East","Tucson","AZ","85712",3,0,7119,0.7167,0.46545,5491.5,8792,12938,1036.5,0.475,47
2561900,"Brillare Hairdressing Academy","Scottsdale","AZ","85254",3,0,9287,0.7167,0.46545,7613,8792,13635,1036.5,0.633,226
2280500,"Charles of Italy Beauty College","Lake Havasu City","AZ","86403",3,0,8134,0.7167,0.46545,6514,8792,10819,1036.5,0.5828,83
1054207,"Empire Beauty School-Flagstaff","Flagstaff","AZ","86004",3,0,8704,0.7167,0.46545,6392.5,8792,12798,1036.5,0.6947,53
1054208,"Empire Beauty School-Chandler","Chandler","AZ","85224",3,0,8290,0.7167,0.46545,6392.5,8792,12513,1036.5,0.6753,113
1085800,"Avalon School of Cosmetology-Mesa","Mesa","AZ","85210",3,0,5660,0.7167,0.46545,10423.5,8792,11591,1036.5,0.7927,273
3005000,"Hair Academy of Safford","Safford","AZ","85546",3,0,3546,0.7167,0.46545,9833,8792,4536,1036.5,0.1957,64
945915,"Empire Beauty School-NW Phoenix","Glendale","AZ","85051",3,0,7957,0.7167,0.46545,6406,8792,12996,1036.5,0.7555,172
3065100,"ABC Beauty College Inc","Arkadelphia","AR","71923",3,0,5278,0.7167,0.46545,9545,8792,4923,1036.5,0.9474,32
3005100,"Arkansas Beauty School","Little Rock","AR","72209",3,0,1665,0.7167,0.46545,6333,8792,10167,1036.5,1,37
3997300,"Arkansas Beauty College","Russellville","AR","72801",3,0,9392,0.7167,0.46545,5500,8792,9691,1036.5,0.9231,46
108800,"Lyon College","Batesville","AR","72501",2,0,9863,0.5898,0.4965,12000,8792,12350,1142,0.6867,570
2363500,"Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","72901-3342",3,0,8501,0.7167,0.46545,6800,8792,8717,1036.5,0.6056,50
2538500,"Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","72076",3,0,8658,0.7167,0.46545,9500,8792,10946,1036.5,0.679,64
109300,"Central Baptist College","Conway","AR","72034",2,0,8457,0.5407,0.3874,10828,8792,11539,974,0.5745,769
109500,"Crowley's Ridge College","Paragould","AR","72450",2,0,8396,0.7167,0.2931,7848,8792,10192,1036.5,0.5524,153
2272400,"Eastern College of Health Vocations-Little Rock","Little Rock","AR","72205",3,0,5255,0.7167,0.46545,3848.5,8792,12460,1036.5,0.9182,302
3007100,"Hot Springs Beauty College","Hot Springs","AR","71901",3,0,4823,0.7167,0.46545,4000,8792,8739,1036.5,0.2877,43
2525800,"Lees School of Cosmetology","North Little Rock","AR","72114-3800",3,0,5165,0.7167,0.46545,9833,8792,12018,1036.5,0.4865,27
2341700,"Career Academy of Hair Design","Springdale","AR","72764-7128",3,0,6357,0.7167,0.46545,6365,8792,14889,1036.5,0.5332,364
2287400,"Marsha Kay Beauty College","Mountain Home","AR","72653-3164",3,0,1486,0.7167,0.46545,9833,8792,6284,1036.5,0,15
3254300,"Margaret's Hair Academy Inc","Monticello","AR","71655",3,0,6626,0.7167,0.46545,9833,8792,10884,1036.5,0.5854,65
2284200,"New Tyler Barber College Inc","North Little Rock","AR","72114-4973",3,0,4718,0.7167,0.46545,9500,8792,12681,1036.5,0.3978,79
2202400,"Professional Cosmetology Education Center","El Dorado","AR","71730-4009",3,0,13022,0.7167,0.46545,8456,8792,7502,1036.5,0.8462,50
110500,"Shorter College","N Little Rock","AR","72114",2,0,6837,0.7167,0.46545,8453,8792,4883,1036.5,0.7115,330
110600,"Williams Baptist College","Walnut Ridge","AR","72476",2,0,7323,0.6798,0.3985,10000,8792,11326,1001,0.6307,501
3214300,"Velvatex College of Beauty Culture","Little Rock","AR","72202-5452",3,0,342,0.7167,0.46545,9833,8792,959,1036.5,0,25
2258600,"Avalon School of Cosmetology-Alameda","Alameda","CA","94501",3,0,1205,0.7167,0.46545,6333,8792,12608,1036.5,0.809,186
1307400,"American Beauty College","West Covina","CA","91790",3,0,5490,0.7167,0.46545,3500,8792,11962,1036.5,0.6516,45
3266300,"Bethesda University of California","Anaheim","CA","92801",2,0,5936,0.8321,0.7826,9833,8792,8039,1036.5,0.3906,259
2065700,"California Beauty School","Modesto","CA","95354",3,0,5367,0.7167,0.46545,7710,8792,12974,1036.5,0.6748,114
884400,"California Christian College","Fresno","CA","93703-3599",2,0,12357,0.8333,0.25,9833,8792,11734,1036.5,0.5429,30
2125000,"Career Academy of Beauty","Garden Grove","CA","92845",3,0,7053,0.7167,0.46545,6333,8792,11184,1036.5,0.5784,167
2332809,"CET-San Diego","San Diego","CA","92102",2,0,5379,0.7167,0.46545,5250,8792,14109,1036.5,0.4472,267
2332800,"CET-Sobrato","San Jose","CA","95110",2,0,5903,0.7167,0.46545,5250,8792,12906,1036.5,0.3681,345
2332810,"CET-El Centro","El Centro","CA","92243",2,0,10520,0.7167,0.46545,5250,8792,-264,1036.5,0.0783,234
2332814,"CET-San Bernardino","San Bernardino","CA","92408",2,0,4730,0.7167,0.46545,5250,8792,12322,1036.5,0.4128,103
2332819,"CET-Watsonville","Watsonville","CA","95076",2,0,8722,0.7167,0.46545,5250,8792,11479,1036.5,0.0791,88
2332808,"CET-Gilroy","Gilroy","CA","95020",2,0,9345,0.7167,0.46545,5250,8792,4571,1036.5,0.0809,104
2332813,"CET-Salinas","Salinas","CA","93901",2,0,8824,0.7167,0.46545,5250,8792,12479,1036.5,0.0577,65
2178700,"Citrus Heights Beauty College","Citris Heights","CA","95610-1410",3,0,2723,0.7167,0.46545,9833,8792,8665,1036.5,0,96
3964400,"International School of Beauty Inc","Palm Desert","CA","92260-2740",3,0,5281,0.7167,0.46545,6630.5,8792,12128,1036.5,0.5229,229
1298500,"Hair California Beauty Academy","Orange","CA","92867",3,0,3624,0.7167,0.46545,9833,8792,7304,1036.5,0,47
2230900,"Fredrick and Charles Beauty College","Eureka","CA","95501",3,0,5749,0.7167,0.46545,9833,8792,8377,1036.5,0,83
2211000,"Salon Success Academy-San Bernardino","San Bernardino","CA","92405",3,0,6158,0.7167,0.46545,10556,8792,11066,1036.5,0.6111,30
2285100,"Hilltop Beauty School","Daly City","CA","94014",3,0,392,0.7167,0.46545,9833,8792,11719,1036.5,0,126
1301000,"Lancaster Beauty School","Lancaster","CA","93534",3,0,4640,0.7167,0.46545,6333,8792,13466,1036.5,0.5617,93
1186600,"Lu Ross Academy","Ventura","CA","93001-2729",3,0,9231,0.7167,0.46545,8118,8792,10643,1036.5,0.6735,186
1231600,"Manchester Beauty College","Fresno","CA","93726",3,0,6681,0.7167,0.46545,9833,8792,13061,1036.5,0,67
1231700,"Tulare Beauty College","Tulare","CA","93274",3,0,6744,0.7167,0.46545,9833,8792,9582,1036.5,0,36
714200,"Lyles Fresno College of Beauty","Fresno","CA","93710",3,0,4516,0.7167,0.46545,4610,8792,8337,1036.5,0.2719,56
1324000,"Lytles Redwood Empire Beauty College Inc","Santa Rosa","CA","95403",3,0,10266,0.7167,0.46545,7601.5,8792,10440,1036.5,0.4903,126
1291200,"MTI College","Sacramento","CA","95841-9817",3,0,11238,0.7167,0.46545,9101,8792,12836,1036.5,0.7254,594
720400,"Modern Beauty Academy","Oxnard","CA","93030",3,0,3449,0.7167,0.46545,5408.5,8792,10672,1036.5,0.6056,48
2185800,"Moler Barber College","Oakland","CA","94609-2419",3,0,7589,0.7167,0.46545,9500,8792,8506,1036.5,0.9528,76
713000,"Newberry School of Beauty","Granada Hills","CA","91344-7401",3,0,4777,0.7167,0.46545,4598.5,8792,9167,1036.5,0.4857,153
1298900,"Oceanside College of Beauty","Oceanside","CA","92054-5356",3,0,6881,0.7167,0.46545,6913,8792,9535,1036.5,0.5207,70
2059800,"Paris Beauty College","Concord","CA","94520",3,0,3196,0.7167,0.46545,9833,8792,9908,1036.5,0,99
1298400,"Professional Institute of Beauty","El Monte","CA","91731",3,0,2575,0.7167,0.46545,3120,8792,11432,1036.5,0.4921,108
4161700,"Shasta School of Cosmetology","Redding","CA","96003",3,0,2272,0.7167,0.46545,9833,8792,9762,1036.5,0,71
720300,"Salon Success Academy-Upland","Upland","CA","91786",3,0,4352,0.7167,0.46545,7726.5,8792,10747,1036.5,0.5154,228
1309500,"Salon Success Academy-Corona","Corona","CA","92879",3,0,4554,0.7167,0.46545,9921,8792,11333,1036.5,0.7429,129
1294200,"Rosemead Beauty School","Rosemead","CA","91770-1639",3,0,347,0.7167,0.46545,9833,8792,10291,1036.5,0,210
2064300,"Sierra College of Beauty","Merced","CA","95340",3,0,2551,0.7167,0.46545,9833,8792,4229,1036.5,0,181
2128200,"Victor Valley Beauty College Inc","Victorville","CA","92395",3,0,3870,0.7167,0.46545,6050,8792,13558,1036.5,0.6092,105
2061600,"Waynes College of Beauty","Salinas","CA","93906-2830",3,0,8965,0.7167,0.46545,9833,8792,4571,1036.5,0,42
2262400,"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","Los Angeles","CA","90046",2,0,12568,1,0.1667,9833,8792,6649,1036.5,0,131
2165200,"The Salon Professional Academy-Grand Junction","Grand Junction","CO","81501",3,0,8482,0.7167,0.46545,8870,8792,10770,1036.5,0.4504,90
2267500,"Glenwood Beauty Academy","Glenwood Springs","CO","81601",3,0,8182,0.7167,0.46545,9104.5,8792,12460,1036.5,0.7164,53
2518500,"Hair Dynamics Education Center","Fort Collins","CO","80525",3,0,4642,0.7167,0.46545,11122.5,8792,13335,1036.5,0.5977,174
1285000,"International Salon and Spa Academy","Colorado Springs","CO","80918-3684",3,0,5806,0.7167,0.46545,6333,8792,13448,1036.5,0.4714,205
863500,"Intellitec Medical Institute","Colorado Springs","CO","80919",3,0,10554,0.7167,0.46545,13000,8792,12487,1036.5,0.7022,339
144300,"Gallaudet University","Washington","DC","20002-3695",2,0,11093,0.6558,0.4828,12000,8792,11804,841,0.4199,1053
2132800,"National Conservatory of Dramatic Arts","Washington","DC","20007",2,0,6778,0.75,0.46545,9833,8792,11756,1036.5,0.6111,37
2159600,"The Baptist College of Florida","Graceville","FL","32440",2,0,8251,0.4257,0.3684,14425,8792,9766,1062,0.6105,499
2200100,"GUTI The Premier Beauty & Wellness Academy","Bradenton","FL","34210",3,0,11320,0.7167,0.46545,4811.5,8792,12644,1036.5,0.2652,129
147800,"Edward Waters College","Jacksonville","FL","32209",2,0,9451,0.2732,0.2,11351,8792,12443,802,0.8214,862
2218700,"Florida Technical College","Orlando","FL","32826",3,0,7364,0.7167,0.602,9500,8792,14055,1036.5,0.7045,4330
2598200,"University of Southernmost Florida","Jacksonville","FL","32225",3,0,17632,0.7167,0.1477,12347.5,8792,8580,1036.5,1,99
2338400,"Fort Pierce Beauty Academy","Fort Pierce","FL","34982-6333",3,0,1998,0.7167,0.46545,9833,8792,6961,1036.5,0,28
2188900,"Hobe Sound Bible College","Hobe Sound","FL","33455-1065",2,0,5082,0.7167,0.4,9833,8792,9956,1036.5,0.2533,194
2287100,"La Belle Beauty School","Hialeah","FL","33012",3,0,0,0.7167,0.46545,7139,8792,8212,1036.5,0.759,290
3113400,"Academy of Healing Arts Massage & Facial Skin Care","Lake Worth","FL","33463-2113",3,0,4490,0.7167,0.46545,6500,8792,11616,1036.5,0.4,98
807500,"Saint John Vianney College Seminary","Miami","FL","33165-3244",2,0,18009,1,0.6667,9833,8792,2035,1036.5,0,77
3101900,"Trinity Baptist College","Jacksonville","FL","32221",2,0,7156,0.4847,0.3889,5500,8792,11766,863,0.6554,289
2148200,"Fashion Focus Hair Academy","Sarasota","FL","34231-4813",3,0,5267,0.7167,0.46545,7885,8792,14733,1036.5,0.3083,79
3005400,"Georgia Career Institute","Conyers","GA","30094",3,0,6246,0.7167,0.46545,6864,8792,9449,1036.5,0.499,528
2577700,"Beauty College of America","Forest Park","GA","30297-1443",3,0,518,0.7167,0.46545,9833,8792,6646,1036.5,0,53
155700,"Brewton-Parker College","Mount Vernon","GA","30445",2,0,5603,0.5137,0.1867,10250,8792,13146,896,0.6191,543
1205100,"Pro Way Hair School","Stone Mountain","GA","30083-3254",3,0,4004,0.7167,0.46545,8900,8792,10946,1036.5,0.9756,68
156300,"Emmanuel College","Franklin Springs","GA","30639",2,0,8333,0.4783,0.4571,14335,8792,12333,935,0.6385,709
2139500,"Hawaii Institute of Hair Design","Honolulu","HI","96817-5195",3,0,7542,0.7167,0.46545,5830,8792,11715,1036.5,0.4106,85
3017800,"Travel Institute of the Pacific","Honolulu","HI","96814",3,0,2844,0.7167,0.46545,8952,8792,11238,1036.5,0.3401,188
987300,"Joseph Charles Institute of Cosmetology","Twin Falls","ID","83301",3,0,2728,0.7167,0.46545,9511,8792,13527,1036.5,1,57
2275800,"Mr Leon's School of Hair Design-Moscow","Moscow","ID","83843",3,0,7734,0.7167,0.46545,13209,8792,8980,1036.5,0.9143,25
2314000,"The School of Hairstyling","Chubbuck","ID","83202",3,0,4015,0.7167,0.46545,11497,8792,12259,1036.5,0.7342,36
832800,"Alvareitas College of Cosmetology-Edwardsville","Edwardsville","IL","62025",3,0,4268,0.7167,0.46545,7136,8792,9676,1036.5,0.5,45
2349400,"Alvareitas College of Cosmetology-Godfrey","Godfrey","IL","62035-4150",3,0,2530,0.7167,0.46545,8062.5,8792,7359,1036.5,1,40
2317302,"Concept College of Cosmetology","Urbana","IL","61801",3,0,2860,0.7167,0.46545,7500,8792,11080,1036.5,0.6066,33
3065300,"Paul Mitchell the School-Bradley","Bourbonnais","IL","60914",3,0,12209,0.7167,0.46545,9776,8792,8824,1036.5,0.6048,395
2202600,"Cannella School of Hair Design-Villa Park","Villa Park","IL","60181",3,0,5346,0.7167,0.46545,9833,8792,5995,1036.5,0,83
959500,"Cannella School of Hair Design-Chicago","Chicago","IL","60617-4303",3,0,7316,0.7167,0.46545,3500,8792,6961,1036.5,0.6283,84
2349500,"Cannella School of Hair Design-Chicago","Chicago","IL","60632-2549",3,0,4422,0.7167,0.46545,9833,8792,5697,1036.5,0,125
2295500,"Cannella School of Hair Design-Elgin","Elgin","IL","60120",3,0,6502,0.7167,0.46545,3500,8792,6262,1036.5,0.3611,79
945918,"Empire Beauty School-Hanover Park","Hanover Park","IL","60133-5421",3,0,8954,0.7167,0.46545,6406,8792,13209,1036.5,0.6397,81
2317300,"Concept College of Cosmetology","Danville","IL","61832",3,0,1856,0.7167,0.46545,7500,8792,11238,1036.5,0.4574,58
2150600,"Cosmetology & Spa Academy","Crystal Lake","IL","60014",3,0,5444,0.7167,0.46545,7917,8792,9326,1036.5,0.4891,147
2584900,"First Institute Inc","Crystal Lake","IL","60014",3,0,13304,0.7167,0.46545,8100,8792,12328,1036.5,0.6748,53
456000,"Gem City College","Quincy","IL","62301",3,0,8055,0.7167,0.46545,5125,8792,11226,1036.5,0.6923,44
947500,"Educators of Beauty College of Cosmetology-La Salle","La Salle","IL","61301",3,0,16156,0.7167,0.46545,9500,8792,9725,1036.5,0.4419,33
730307,"Lincoln College of Technology-Melrose Park","Melrose Park","IL","60160-1605",3,0,13880,0.7167,0.46545,10182,8792,11772,1036.5,0.7774,617
2332839,"CET-Chicago","Chicago","IL","60612",2,0,3881,0.7167,0.46545,5250,8792,11160,1036.5,0.6624,209
2192400,"Mr John's School of Cosmetology Esthetics & Nails-Decatur","Decatur","IL","62521",3,0,7083,0.7167,0.46545,7917,8792,10516,1036.5,0.4436,86
2556600,"Niles School of Cosmetology","Niles","IL","60714",3,0,2219,0.7167,0.46545,9833,8792,8077,1036.5,0.1416,78
2297500,"Oehrlein School of Cosmetology","East Peoria","IL","61611",3,0,12049,0.7167,0.46545,9700,8792,9865,1036.5,0.7547,70
2323300,"Professional's Choice Hair Design Academy","Joliet","IL","60435",3,0,7184,0.7167,0.46545,9833,8792,13157,1036.5,0.2917,49
2185400,"Saint Augustine College","Chicago","IL","60640-3593",2,0,8944,0.7167,0.255,9833,8792,8405,1036.5,0,1598
3128500,"National Latino Education Institute","Chicago","IL","60609-2205",2,0,2174,0.5455,0.46545,2737.5,8792,12154,1036.5,0.336,64
825900,"Educators of Beauty College of Cosmetology-Sterling","Sterling","IL","61081-3611",3,0,10548,0.7167,0.46545,9833,8792,11189,1036.5,0.375,45
2073200,"Telshe Yeshiva-Chicago","Chicago","IL","60625",2,0,13088,1,0.5,9833,8792,7397,1036.5,0,67
1069500,"Tri-County Beauty Academy","Litchfield","IL","62056",3,0,8797,0.7167,0.46545,9833,8792,8713,1036.5,0.6667,14
2124400,"University of Spa & Cosmetology Arts","Springfield","IL","62704",3,0,5859,0.7167,0.46545,5500,8792,14572,1036.5,0.503,189
961200,"Apex Academy of Hair Design Inc","Anderson","IN","46016-1158",3,0,4389,0.7167,0.46545,9833,8792,969,1036.5,0.2308,9
2164300,"Don Roberts School of Hair Design","Schererville","IN","46375",3,0,8487,0.7167,0.46545,9500,8792,11230,1036.5,0.6265,53
2158800,"Don Roberts Beauty School","Valparaiso","IN","46385",3,0,7104,0.7167,0.46545,9833,8792,11540,1036.5,0.3889,77
2490800,"Hair Fashions By Kaye Beauty College-Noblesville","Noblesville","IN","46060-0000",3,0,10141,0.7167,0.46545,7312,8792,10996,1036.5,0.687,70
951500,"J Michael Harrold Beauty Academy","Terre Haute","IN","47807",3,0,4714,0.7167,0.46545,6500,8792,10385,1036.5,0.5917,86
2241700,"PJ's College of Cosmetology-Clarksville","Clarksville","IN","47129",3,0,7060,0.7167,0.46545,9500,8792,12102,1036.5,0.4936,116
2351300,"Knox Beauty College","Knox","IN","46534",3,0,1198,0.7167,0.46545,3300,8792,2435,1036.5,0,39
1040900,"Lafayette Beauty Academy","Lafayette","IN","47901",3,0,2285,0.7167,0.46545,5500,8792,8051,1036.5,0.1538,82
757311,"Empire Beauty School-Indianapolis","Indianapolis","IN","46237-3249",3,0,8238,0.7167,0.46545,6569,8792,13243,1036.5,0.6985,194
2308900,"Masters of Cosmetology College","Fort Wayne","IN","46809-1305",3,0,6159,0.7167,0.46545,10000,8792,10874,1036.5,0.4839,96
961300,"Merrillville Beauty College","Merrillville","IN","46410",3,0,5689,0.7167,0.46545,7000,8792,8878,1036.5,0,62
1061800,"Mid-America College of Funeral Service","Jeffersonville","IN","47130",2,0,3814,0.7167,0.8,13000,8792,7585,1036.5,1,63
2491000,"West Michigan College of Barbering and Beauty","Kalamazoo","MI","49008",3,0,2863,0.7167,0.46545,9833,8792,1529,1036.5,0,87
2304800,"PJ's College of Cosmetology-Richmond","Richmond","IN","47374",3,0,6751,0.7167,0.46545,9500,8792,12450,1036.5,0.5634,37
2339600,"Rogers Academy of Hair Design","Evansville","IN","47712",3,0,7789,0.7167,0.46545,4435,8792,8401,1036.5,0.2095,51
967302,"Rudae's School of Beauty Culture-Kokomo","Kokomo","IN","46901-4516",3,0,7693,0.7167,0.46545,9100,8792,11024,1036.5,0.7,39
1015100,"Vincennes Beauty College","Vincennes","IN","47591",3,0,4905,0.7167,0.46545,5500,8792,8640,1036.5,0.2074,89
396300,"AIB College of Business","Des Moines","IA","50321-1799",2,0,7261,0.6887,0.6054,13125,8792,11581,1036.5,0.7359,1007
2090300,"Capri College-Cedar Rapids","Cedar Rapids","IA","52404",3,0,5955,0.7167,0.46545,8100,8792,13917,1036.5,0.5172,192
765600,"American College of Hairstyling-Cedar Rapids","Cedar Rapids","IA","52402",3,0,15277,0.7167,0.46545,9833,8792,9883,1036.5,0.6667,11
2330900,"Iowa School of Beauty-Marshalltown","Marshalltown","IA","50158",3,0,6335,0.7167,0.46545,11225,8792,10304,1036.5,0.6863,34
185800,"Divine Word College","Epworth","IA","52045",2,0,14773,1,0.4444,9833,8792,1539,1036.5,0.3396,89
